id,hospital_id,"name","detail",price,"created_at","updated_at","coupon"
1,1,"全身ドック","1日でCT、PET、血液検査を行うプランです。
1日で終えることができるため、時間のない方にオススメです。",10000,"2016-05-07 09:55:02","2016-05-07 09:55:02","【会員限定】オプション検査一つ無料"
2,1,"血液検査","血液検査からわかることは多く、主に貧血、肝臓の異常、腎臓の異常、高脂血症、糖尿病などの病気がわかります。
希望者には感染症系検査、梅毒反応、HBs抗原（B型肺炎ウィルス検査）、HCV抗原（C型肺炎ウィルス検査）を行うことも可能です。",5000,"2016-05-07 09:55:02","2016-05-07 09:55:02","【家族割り】会員とその家族限定、10%OFF"
3,1,"脳ドック","MRI・MRAによる脳疾患を早期発見するための画像診断ドックとなっております。病気の見落としを少なくする為に5種類のMRI(脳)撮影＋MRA(脳動脈)撮影を組み合わせた撮影を行います。30分程度で検査が終了しますので、お仕事で時間がない方や家事でお忙しい方にも適したコースとなっております。",28000,"2016-05-07 09:55:02","2016-05-07 09:55:02","【40代割引】脳梗塞等の脳疾患が劇的に増加する40代のお客様を対象に、診察料10%OFF!"
4,2,"血液検査","血液検査からわかることは多く、主に貧血、肝臓の異常、腎臓の異常、高脂血症、糖尿病などの病気がわかります。
希望者には感染症系検査、梅毒反応、HBs抗原（B型肺炎ウィルス検査）、HCV抗原（C型肺炎ウィルス検査）を行うことも可能です。",5000,"2016-05-07 09:55:02","2016-05-07 09:55:02","【家族割り】会員とその家族限定、10%OFF"
34,2,"【1泊2日ハイクラスコース】　400,000円（税別）","MRI・128マルチスライスCTなどの先端機器を用いて、脳、心臓、肺の病変を調べる画像診断ドックに、経鼻内視鏡（鼻からの内視鏡）、大腸内視鏡、男性には男性特有のがんである前立腺（PSA）検査、女性には女性特有のがんである子宮がん（骨盤腔のMRI）検査をセットにした、1泊2日で全身をしっかり調べるハイクラスコースとなっております。

1日目は7時間、2日目は3時間の受診時間です。

頭部は、MRI・MRA・頸動脈MRA検査を行い、脳卒中・脳動脈瘤の早期発見を目指します。
体幹部は、CT検査を中心に、超音波、腰椎MRI検査、男性には前立腺MRI、女性には骨盤膣のMRI、各部位のがんを調べる血液検査、ピロリ菌検査、尿沈渣検査などを行います。

当日、経験豊富な医師が結果説明を行い、撮影した画像はCDにてお渡しいたします。
また、検査受診後1年間はメールによる健康相談を受付しておりますので、安心してご受診ください。

◇お電話にてお問い合わせください。",400,"2016-05-18 02:48:48","2016-05-18 02:48:48","【家族割り】会員とその家族限定、10%OFF"
35,3,"PET-CT総合検診ペアコース","MRI・128マルチスライスCTなどの先端機器を用い、各部位の画像診断を行い、人間ドックと脳・心臓・肺のチェックを行う、徹底チェックコースとなっております。所要時間は約4時間となっております。

頭部は、MRI・MRA・頸動脈MRA検査を行い、脳卒中・脳動脈瘤の早期発見を目指します。
体幹部は、CT検査を中心に、超音波、腰椎MRI検査も行います。他にも、各部位のがんを調べる血液検査、血圧脈波検査、便検査などを行います。

当日、経験豊富な医師が結果説明を行い、撮影した画像はCDにてお渡しいたします。

また、検査受診後1年間はメールによる健康相談を受付しております。

◇お電話にてお問い合わせください。",384,"2016-05-18 02:48:48","2016-05-18 02:48:48","【割引キャンペーン利用条件】Fit経由での予約に限り。ペア割！２０％OFF！"
36,4,"【三大生活習慣病チェック】心臓・グランドコース（がん・脳・心臓）","標準的な人間ドックに加え、ジェノマーカー（※）5種類、腫瘍マーカー4種類、胸部CT検査、頭部CT検査、乳がん検査、子宮がん検査、骨密度検査を追加した総合的な人間ドックです。

・価格は税抜です。
・所要時間は約180分です。
・ご希望により、後日医師による結果説明を受けることも可能です。
・検査当日にコース以外の検査項目を追加できる場合もございますのでお気軽にお問い合わせください。

※ジェノマーカーとは、遺伝子情報から生活習慣病にかかりやすい体質であるかどうかを知ることができる検査です。",383,"2016-05-18 02:48:48","2016-05-18 02:48:48",NULL
37,5,"プレミアムドック","三大疾患（がん・脳・心臓）から、アルツハイマー病の早期発見を目指し、PET／CT・MR・超音波等の先端機器を複合的に組み合わせて検査を行います。
胃部内視鏡から、婦人科に特化した内容も盛り込まれており、全身を約6時間で、徹底的にチェックするコースです。",378,"2016-05-18 02:48:48","2016-05-18 02:48:48","【会員限定】オプション検査一つ無料"
38,6,"ペア受診PET検査Eコース（脳PET、頭部MRI付）","【割引キャンペーン利用条件】Fit経由で、2名様にてご予約いただいた場合に限り",347,"2016-05-18 02:48:48","2016-05-18 02:48:48",NULL
39,7,"◆人間ドックコース◆","◇スタンダードな人間ドックに、PET/CTの全身がん検査と脳PET、頭部MRI検査をセットにした2日間の全身チェックコースです。

※人間ドックは、富坂診療所・PET検査は当センターにて受診となります。予約申込みの後、富坂診療所と当センターより確認のお電話をさせて頂きます。コース詳細についてご不明な点がございましたら、その際にご確認お願い致します。

◇脳PETとMRI検査は、脳卒中の予防にお役立てください。
◇全身のがんの早期発見を目的とするPET/CT検査は、日本医科大学直営のPET検査センターにて行います。PET/CT検査の画像診断と報告書作成は大学にて研鑽を積んだ医師が行います。
◇日本医科大学各付属病院と連携しているため、検査後の治療体制も充実しております。

※糖尿病の治療中の方は、ご相談ください。",323,"2016-05-18 02:48:49","2016-05-18 02:48:49","【会員限定】オプション検査一つ無料"
40,7,"【日帰り全身ドック】◇ハイクラスコース　300,000円（税別）","MRI・128マルチスライスCTなどの先端機器を用い、各部位の画像診断を行い、人間ドックと脳・心臓・肺、胃、大腸がんのリスクチェックを行う、お忙しい方向けのハイクラスコースとなっております。

所要時間は約7時間となっております。
頭部は、MRI・MRA・頸動脈MRA検査を行い、脳卒中・脳動脈瘤の早期発見を目指します。体幹部は、CT検査を中心に、超音波、腰椎MRI検査、当日中に胃内視鏡検査、大腸内視鏡検査(S状結腸まで)に加え、各部位のがんを調べる血液検査、血圧脈波検査、便検査なども行います。

当日、経験豊富な医師が結果説明を行い、撮影した画像はCDにてお渡しいたします。
また、検査受診後１年間はメールによる健康相談を受付しておりますので、安心してご受診ください。

◇お電話にてお問い合わせください。",300,"2016-05-18 02:48:49","2016-05-18 02:48:49",NULL
41,1,"PET/CT基本＋脳、骨盤MRI","【割引キャンペーン利用条件】Fit経由で、2名様にてご予約いただいた場合に限り",295,"2016-05-18 02:48:49","2016-05-18 02:48:49","【からだの総点検！ペア割10%OFF】"
42,2,"ペア受診PET検査Bコース（MRI付）","【割引キャンペーン利用条件】Fit経由の予約に限る",293,"2016-05-18 02:48:49","2016-05-18 02:48:49",NULL
43,3,"全身癌ドック＆人間ドック（全身ＭＲＩ・遺伝子検査）","【割引キャンペーン利用条件】FIt経由での予約に限り",280,"2016-05-18 02:48:49","2016-05-18 02:48:49","【家族割り】会員とその家族限定、10%OFF"
