id,"name","place","detail","homepage","image","created_at","updated_at","tel","access"
1,"多摩国際記念病院","関東東京都多摩市緑区","自然に囲まれた緑豊かな病院です。都内からのアクセスも良く、最寄り駅から徒歩２分なのでご高齢の方や身体の不自由な方でも利用しやすくなっております。多摩地域において総合的な医療機能を持つ唯一の都立病院として、高度専門医療を提供しています。","http://www.fuchu-hp.fuchu.tokyo.jp/","http://www.shimz.co.jp/theme/pfi/images/tamahospital_img001.jpg","2016-05-07 09:55:02","2016-05-07 09:55:02","0120-XXX-XXX","JR国立駅から徒歩１０分"
2,"北海道大学病院","北海道札幌市","平成15年10月1日、医学部附属病院と歯学部附属病院が統合され、医療法上「北海道大学病院」となりました。
　「北海道大学病院」は、北海道大学医学部・歯学部附属の教育・研究施設として、医科・歯科の高度・良質な統合的医療に基づく、全人的医療の提供ならびに全人教育を実践する道内唯一の医療施設として、以下の基本理念に基づき、その目標を実現するため、環境の整備と体制の確立に努めます。","http://www.huhp.hokudai.ac.jp/","http://hokudai-med-sports.org/room/image/bulid.jpg","2016-05-07 09:55:02","2016-05-07 09:55:02","0120-XXX-XXX","JR札幌駅から北海道大学病院行きバスで10分"
3,"東京脳神経センター","北海道札幌市","平成15年10月1日、医学部附属病院と歯学部附属病院が統合され、医療法上「北海道大学病院」となりました。
　「北海道大学病院」は、北海道大学医学部・歯学部附属の教育・研究施設として、医科・歯科の高度・良質な統合的医療に基づく、全人的医療の提供ならびに全人教育を実践する道内唯一の医療施設として、以下の基本理念に基づき、その目標を実現するため、環境の整備と体制の確立に努めます。","http://www.huhp.hokudai.ac.jp/","http://hokudai-med-sports.org/room/image/bulid.jpg","2016-05-07 09:55:02","2016-05-07 09:55:02","0120-XXX-XXX","JR札幌駅から北海道大学病院行きバスで10分"
4,"聖路加国際病院サテライトクリニック（ライフ・プランニング・センター）
				
			","関東","港区三田にある聖路加サテライトクリニックでは、人間ドック、健康診断、乳がん検診などを行っております。
そのほかにも様々なオプション検査をご用意し、皆様が健康で生きがいのある毎日を送れるように医師、ナース等の医療スタッフがきめ細かくサポートしております。
また当施設は聖路加国際病院の理事長である日野原重明が開設した財団法人の診療所であり、同病院より特別に「聖路加国際病院　サテライトクリニック」の標榜を許可されている数少ない診療所です。


【住所：東京都港区三田３－１２－１２】",NULL,"http://www.docknet.jp/img/hospital/D20098/p1.jpg","2016-05-18 02:27:11","2016-05-18 02:27:11",NULL,"田町(東京都)／泉岳寺／三田(東京都)"
5,"八王子クリニック新町＜東京都八王子市･八王子駅＞人間ドック
				
			","関東","八王子クリニック　新町の人間ドックはマルチスライスＣＴやＭＲＩ、電子内視鏡や超音波診断装置などの高度先進医療機器を使用し、高い精度で病気を見つける世界最高水準の人間ドックです。
その主な精度は、日本人の死亡原因の第一位である「がん」の約９割を早期に発見し、働き盛りの突然死の原因で最も多い「心筋梗塞」を冠動脈ＣＴで、直接的な視点でリスクを判定し予防致します。
また寝たきりや認知症の原因で最も多い「脳卒中」を７種類ものＭＲＩ撮影を行い詳細に脳を検査し予防致します。

具体的に、ＭＲＩ・ＭＲＡやＣＴを用いて全身を調べる日帰り・１泊の全身ドックを実施しているほか、かくれ脳梗塞、かくれ脳内出血などの早期発見を目指すため、脳ドックや脳疾患に加えて心臓・肺などの画像診断も行います（脳ドックＡコース、心臓ドックを除く）。
必ずや、皆様方の健康管理にお役に立てると自負しています。

◎診療科目：内科・外科・脳神経外科・循環器内科・消化器科

◆◆◆◆◆◆◆予約ダイヤルに関しまして◆◆◆◆◆◆◆◆◆◆
　　　　　　　　　≪03-6895-4875≫
こちらはドクネットの予約ダイヤルになります
こちらのコースはお電話でのご予約を承ります
コースのご予約についてはこちらの番号までお問合せ下さい
◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆


【住所：東京都八王子市新町7-10】",NULL,"http://www.docknet.jp/img/hospital/D20035/p1.jpg","2016-05-18 02:27:11","2016-05-18 02:27:11",NULL,"八王子／京王八王子"
6,"ラジオロジークリニック扇町＜大阪府大阪市北区・東梅田駅＞脳ドック
				
			","関東","ラジオロジークリニック扇町は、地下鉄御堂筋梅田駅から徒歩10分、JR大阪駅から徒歩12分、北区の中心部にあります。
私たちは、市民の身近な放射線科専門クリニックとして、皆様の健康維持にお役立ちできることを誇りとしております。

ラジオロジークリニック扇町では、CT、MRI、マンモグラフィなど高度な医療機器を備えており、検査画像や診断の質は高いレベルを維持するように力を注いでいます。

また、禁煙外来、大腸CT検査や女性医師による乳がん検診を行っています。
血液検査で、癌のリスクを測るアミノインデックス、動脈硬化指数を測るロックスインデックスも実施しております。

【住所：大阪府大阪市北区神山町1-7】",NULL,"http://www.docknet.jp/img/hospital/D20162/p1.jpg","2016-05-18 02:27:11","2016-05-18 02:27:11",NULL,"東梅田／扇町(大阪府)／天満"
7,"三愛病院＜埼玉県さいたま市桜区・西浦和駅＞人間ドック･脳ドック
				
			","関東","「三愛」の名前の由来は、病院理念である三つの愛が基本となっております。「患者様への思いやりの心」「地域を愛する心」「医療に奉仕する心」この三つの愛をモットーとし、職員一丸となって医療に捧げています。
人間ドックは日帰りコース以外にも、気になる部位だけを検査できるコース、女性特有の病気を発見するためのコースもございます。さらに、毎週火曜日は女性医師・女性技師が担当しますので、女性の方に安心して受診していただいております。

◎最新機器によるオーダーメイド型の人間ドック
「3.0テラスの高磁場MRI」や「320列CT」など最新機器で低リスク低負担なオーダーメイド型の人間ドックをご提供させていただきます。
◎専門医による多重読影
画像検査の結果は、有名大学の放射線専門医をはじめ、各分野専門医が細心の注意を払い、チェックを行います。
◎検査結果を、今後の健康管理のお役に立てるようお手伝いいたします。担当の専門医により、検査結果の意味や今後の生活の中での注意事項などを分かりやすくご説明します。また、次回からの健診では前回のデータを比較して判定します。
◎治療や経過観察（一定期間後の再検査）をサポートいたします。

【住所：埼玉県さいたま市桜区田島4-35-17】",NULL,"http://www.docknet.jp/img/hospital/D20140/p1.jpg","2016-05-18 02:27:11","2016-05-18 02:27:11",NULL,"西浦和"
8,"松澤クリニック　総合健診センター＜埼玉県ふじみ野市・ふじみ野駅＞人間ドック
				
			","関東","人が生活する上で一番大切な「健康」。
その健康を維持し、毎日元気で活躍するためには、適切な食事・運動・休養・それに老化現象に対する配慮が大切です。そのために、まず自分の体の正確な情報を得ることが必要です。
松澤クリニック　総合健診センターでは、最新のデジタルX線透視装置・電子内視鏡装置・超音波診断装置・全身用マルチスキャンヘリカルCT装置・MRI装置・マンモグラフィー検査装置・オンライン画像診断システム・コンピューターなどを駆使して、脳・肺・乳腺・甲状腺・胃十二指腸・大腸肛門・前立腺・肝胆すい・骨などに関し、各臓器ごとにターゲットをしぼって、成人病の危険因子や癌の有無などに関し、精密検査を行います。
ご予約のうえ来院していただければ、ドックは短時間で済みます。大切な各人のデーターはコンピューター管理しますので、経時的な推移が容易に把握できます。定期的に精査を受けることが大切です。その結果、健康を維持するための生活指導を行ないます。異常所見が認められた場合は、さらに精査の上、速やかに適切な治療を開始いたします。入院治療が必要な場合は、病状に適した病院を紹介いたします。

【住所：埼玉県ふじみ野市ふじみ野３丁目９－２０】",NULL,"http://www.docknet.jp/img/hospital/D20317/p1.jpg","2016-05-18 02:27:11","2016-05-18 02:27:11",NULL,"ふじみ野"
9,"調布東山病院＜東京都調布市･調布駅＞人間ドック
				
			","関東","◆ドック健診センターの利便性
・当院は、調布駅から隣接した場所に立地しております。
・京王線調布駅は新宿から15分、相模原線と京王線の分岐点にあります。
・駅や電車から目視できる立地です。

◆完全システム化
・生活習慣病予防健診の実施時間でも、1時間足らずで終了できます。
・診療と健診にて同じデータによる医療が可能です。
・アフターフォローとセカンドオピニオンとの連携が素早く、円滑に行えます。
・正確な健診結果を2週間以内に送付可能です。
・病院併設の施設であること、医療用電子カルテとの併用により、リアルタイム診療の実現が可能になります。

◆高い精度
・充実した内視鏡センター設備MRI（1.5Ｔ）とマルチスライスCT（80列）を装備しております。
・実績のある専門医による検査の読影を行っております。
・ダブルチェック、医師2名による判定を行っております。1次判定→2次判定→総合判定

≪診療科目≫
内科/皮膚科/放射線科/外科/リウマチ科/泌尿器科/リハビリステーション科/消化器内科・外科/糖尿病・内分泌科/大腸肛門外科/血液透科/呼吸器内科/肝臓・腎臓内科/血管外科/血液内科/甲状腺科/神経内科/循環器内科/整形外科


【住所：東京都調布市小島町2-32-17】",NULL,"http://www.docknet.jp/img/hospital/D20132/p1.jpg","2016-05-18 02:27:11","2016-05-18 02:27:11",NULL,"調布"
10,"イーストメディカルクリニック＜埼玉県さいたま市･浦和駅＞人間ドック
				
			","関東","イーストメディカルクリニックは、約3年間の準備期間を設け、現在3名の医師と看護師、放射線技師、医療事務等、30名を超えるスタッフで開院するに至りました。

イーストメディカルクリニックは、予防医療にも積極的に関わっていきたいと思っております。
日本人の死亡原因の第1位から3位を占める、がん・心臓病・脳卒中は生活習慣病と深く関係しております。これらの病気のリスクを少しでも減らすことが大事です。そのためには生活習慣の改善が必要な場合が多々あります。

皆様の身体状況を把握させていただくには、人間ドックをはじめとした健診が必要で、これらの検査で全身を効率よく調べ、生活習慣をお尋ねしながら改善点を見いだし、将来にわたり皆様の健康維持に当クリニックが協力させていただけたら幸いです。

イーストメディカルクリニックは、駅から近い（浦和駅東口徒歩1分）のでサラリーマンの方々がご利用しやすいように予約制も導入させていただいております。少しでも待ち時間が短縮できるようにとのクリニックからの願いです。
お忙しい方にも是非来院していただければと思っております。

◎診療科目：内科・乳腺外科

【埼玉県さいたま市浦和区東高砂町3-2】",NULL,"http://www.docknet.jp/img/hospital/D20086/p1.JPG","2016-05-18 02:27:11","2016-05-18 02:27:11",NULL,"浦和／浦和／浦和"
